sentence,sentiment,Cleaned_Text,Lemmatized_Text
It's very attractive and appears to be of good quality.,positive,its very attractive and appears to be of good quality,its very attractive and appear to be of good quality
I love all the features and form factor.,positive,i love all the features and form factor,I love all the feature and form factor
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,negative,this product had a strong rubberpetroleum smell that was unbearable after a while and caused me to return it,this product have a strong rubberpetroleum smell that be unbearable after a while and cause I to return it
poor quality and service.,negative,poor quality and service,poor quality and service
"The cable looks so thin and flimsy, it is scary.",negative,the cable looks so thin and flimsy it is scary,the cable look so thin and flimsy it be scary
Great Earpiece.,positive,great earpiece,great earpiece
Excellent hands free tool.,positive,excellent hands free tool,excellent hand free tool
Great for using with your home stereo.,positive,great for using with your home stereo,great for use with your home stereo
Good product - incredible value.,positive,good product incredible value,good product incredible value
Only had this a month but it's worked flawlessly so far.,positive,only had this a month but its worked flawlessly so far,only have this a month but its work flawlessly so far
Works great.,positive,works great,work great
Absolutel junk.,negative,absolutel junk,absolutel junk
THAT one didn't work either.,negative,that one didnt work either,that one do not work either
Battery life is real good.,positive,battery life is real good,battery life be real good
Returned 8 hours later.,negative,returned 8 hours later,return 8 hour later
